gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
다바4791,0,0,0,1,0,0,4,17,0,28,1143,13274
다사5375,0,0,0,0,0,0,0,0,0,0,0,21
다사2014,0,0,0,0,0,0,0,0,0,0,0,160
라사0375,0,0,0,0,0,0,0,0,0,0,0,0
다사5631,0,0,0,0,0,0,0,10,0,0,0,70
다바4392,0,0,0,0,0,0,0,0,0,0,0,6
다사7525,0,0,0,0,0,0,1,4,0,0,0,170
다사3916,0,0,0,0,0,0,0,2,0,0,0,22
다바4784,0,0,0,0,0,0,0,0,0,0,0,123
다사2574,0,0,0,0,0,0,0,0,0,0,0,6
다사6815,0,0,0,0,0,0,0,0,0,0,0,63
다사3256,0,0,0,0,0,0,1,2,0,5,656,7582
다사8974,0,0,0,0,0,0,0,4,0,0,0,148
다바8988,0,0,0,0,0,0,0,0,0,0,0,9
다바6690,0,0,0,0,0,0,0,0,0,0,0,137
다사3557,0,0,0,0,0,0,0,1,0,0,0,181
다사8175,0,0,0,0,0,0,0,1,0,0,0,32
다사6332,0,0,0,6,0,0,8,14,0,9,500,9401
다바4485,0,0,0,0,0,0,0,0,0,0,0,63
다아9208,0,0,0,0,0,0,0,2,0,0,0,56
다사8806,0,0,0,0,0,0,0,0,0,0,0,99
다사4476,0,0,0,0,0,0,0,6,0,0,0,91
다바7092,0,0,0,0,0,0,0,3,0,0,0,56
다바6588,0,0,0,9,1,0,15,27,0,21,591,17274
다사9118,0,0,0,0,0,0,1,1,0,0,0,122
라사2121,0,0,0,0,0,0,0,2,0,0,0,42
다사5097,0,0,0,0,0,0,0,2,0,0,0,61
다사3949,0,0,0,0,0,0,0,0,0,0,0,0
다사8919,0,0,0,0,0,0,0,4,0,0,0,32
라사1712,0,0,0,0,0,0,0,0,0,0,0,14
다사7268,0,0,0,14,0,1,8,14,0,15,563,11460
다사3313,0,0,0,0,0,0,0,4,0,0,0,185
다사7031,0,0,0,0,0,0,1,6,0,0,118,1710
라사0158,0,0,0,0,0,0,0,2,0,0,0,94
다사7418,0,0,0,3,0,0,9,20,1,7,285,9812
다사4237,0,0,0,0,0,0,1,4,0,0,0,140
다사6502,0,0,0,0,0,0,0,4,0,0,0,102
다사6886,0,0,0,0,0,0,0,2,0,0,0,8
다사4919,0,0,0,1,0,0,2,0,0,10,171,4618
다사6585,0,0,0,0,0,0,0,2,0,0,0,88
다사4678,0,0,0,0,0,0,0,4,0,0,0,114
다사7535,0,0,0,0,0,0,0,0,0,0,0,128
라바0397,0,0,0,0,0,0,0,7,0,0,0,22
라사0067,0,0,0,0,0,0,0,4,0,0,0,48
다사5883,0,0,0,0,0,0,0,1,0,0,0,185
라사0806,0,0,0,0,0,0,0,8,0,0,0,102
라사0171,0,0,0,0,0,0,0,0,0,0,0,43
다사4866,0,0,0,0,0,0,0,3,0,0,0,78
다사7086,0,0,0,0,0,0,0,0,0,0,0,128
다사8878,0,0,0,0,0,0,0,0,0,0,0,59
다사7687,0,0,0,0,0,0,0,1,0,0,0,113
라사0928,0,0,0,0,0,0,0,4,0,0,0,219
다아5202,0,0,0,0,0,0,0,5,0,0,0,105
다바5382,0,0,0,0,0,0,0,0,0,0,0,0
다사7674,0,0,0,0,0,0,0,2,0,0,0,134
