gid,심야약국,응급실,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수
다사6453,0,0,0,2,0,0,3,5,0,3,411,9295
다사5651,0,0,0,5,0,1,31,26,4,4,205,12478
다사6157,0,0,0,11,0,0,16,40,4,23,1052,29822
다사5858,0,1,1,15,0,0,20,38,1,6,388,23787
다사5347,0,0,0,1,0,1,3,5,2,9,590,11880
다사5955,0,0,0,5,0,0,9,15,1,10,692,19826
다사5748,0,0,0,0,0,0,0,0,0,0,59,893
다사7152,0,0,0,5,0,0,8,19,0,12,1112,13070
다사5961,1,0,1,12,0,0,24,25,0,17,907,29128
다사6549,0,0,0,3,0,0,5,11,0,5,224,7027
다사6163,0,0,0,2,0,0,6,13,0,7,498,17753
다사4051,0,0,0,8,0,0,12,27,1,10,654,12635
다사5747,0,0,0,5,0,0,8,6,0,1,278,9516
다사5947,0,0,0,18,0,0,29,16,1,3,379,11363
다사5662,0,0,0,1,0,0,3,5,0,2,84,4814
다사5863,0,0,0,1,0,0,6,11,0,6,206,8598
다사6255,0,0,0,17,0,1,15,31,3,8,657,24604
다사5547,0,0,0,5,0,1,13,13,0,9,376,16605
다사6348,0,1,1,20,0,0,34,26,1,8,644,24111
다사4942,0,1,1,26,0,1,29,36,1,11,527,35060
다사5158,0,0,0,0,0,0,0,0,0,0,0,0
다사6457,0,1,1,9,1,1,5,21,1,8,290,10390
다사5963,0,0,0,12,0,0,25,36,0,7,515,24925
다사4146,0,1,1,14,0,0,16,35,0,21,1417,29697
다사3949,0,0,0,0,0,0,0,5,0,0,0,0
다사5853,0,0,0,13,0,0,32,20,2,12,451,20573
다사4959,0,0,0,3,0,0,2,16,0,11,557,14517
다사5653,0,0,0,7,0,1,14,20,1,7,366,16824
다사5761,0,0,0,8,0,0,15,29,1,3,403,16949
다사6647,0,0,0,14,1,0,7,18,0,9,594,14489
다사5359,0,0,0,0,0,0,0,0,0,0,0,0
다사3952,0,0,0,19,0,0,23,36,2,24,998,31068
