gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0,1,순위
다사6734,0,27,0,1,24,34,1,9,559,18910,0.07,0.93,1
다사6424,0,14,0,0,6,27,1,10,401,10680,0.11,0.89,2
다사5720,0,11,0,1,11,19,0,7,180,10137,0.12,0.88,3
다사5230,0,9,0,2,6,22,0,7,333,10575,0.13,0.87,4
다사5130,0,9,0,0,18,23,0,11,407,8364,0.15,0.85,5
다사7459,0,9,0,1,4,17,1,8,134,8924,0.19,0.81,6
다사3645,0,11,0,0,20,26,0,15,653,18610,0.2,0.8,7
다사6530,0,14,0,0,27,18,0,10,773,27656,0.21,0.79,8
라사1221,0,13,0,0,9,16,0,8,153,5704,0.22,0.78,9
다사6919,0,18,0,1,15,19,1,5,347,11182,0.22,0.78,10
다사5319,0,14,0,0,25,27,0,18,676,24082,0.22,0.78,11
다사4047,0,5,0,0,9,24,0,8,296,12470,0.22,0.78,12
다사6068,0,4,0,0,9,15,0,10,338,11369,0.23,0.77,13
다사4933,0,14,0,0,19,28,0,19,807,17101,0.27,0.73,14
다사5030,0,16,0,1,23,36,0,13,524,20549,0.28,0.72,15
다사9943,0,15,0,2,13,14,1,6,175,7655,0.29,0.71,16
다사4321,0,12,0,0,29,27,0,43,869,27924,0.29,0.71,17
다사7162,0,5,0,0,6,21,0,17,275,11649,0.29,0.71,18
다바6098,0,17,0,1,20,12,0,7,291,9775,0.29,0.71,19
다사4662,0,10,0,0,6,13,0,3,294,4937,0.3,0.7,20
다사6854,0,21,0,1,22,26,0,17,844,27928,0.31,0.69,21
다사6471,0,14,0,0,23,26,0,31,1216,23306,0.31,0.69,22
다사2066,0,8,0,1,11,15,0,11,283,10118,0.31,0.69,23
다사4162,0,17,0,0,24,61,0,13,620,23208,0.31,0.69,24
다사3660,0,6,0,1,6,17,0,11,262,9912,0.32,0.68,25
다사5622,0,19,0,0,21,18,0,15,658,21606,0.32,0.68,26
다사5617,0,9,0,0,16,16,0,14,388,16119,0.32,0.68,27
다사3912,0,11,0,1,7,13,0,8,274,4638,0.32,0.68,28
다사3644,0,16,1,1,29,40,0,24,1294,30704,0.33,0.67,29
다사5618,0,12,0,0,17,28,0,21,799,19381,0.33,0.67,30
다사3445,0,25,0,1,29,36,0,27,869,22696,0.33,0.67,31
다사6182,0,11,0,1,11,11,1,6,233,5437,0.35,0.65,32
다사6089,0,16,0,1,15,32,1,5,195,7837,0.35,0.65,33
