gid,심_응,약국,소방서,경찰서,안전상비,버스정류소,지하철,어린이집,유아인구수,총인구수,0.00,1.00,순위
다사6734,0,27,0,1,24,34,1,9,559,18910,0.07,0.93,1
다사6424,0,14,0,0,6,27,1,10,401,10680,0.11,0.89,2
다사6105,1,20,0,1,20,24,1,6,128,7690,0.11,0.89,3
다사5720,0,11,0,1,11,19,0,7,180,10137,0.12,0.88,4
다사3643,1,20,0,1,53,32,0,12,682,26324,0.13,0.87,5
다사5230,0,9,0,2,6,22,0,7,333,10575,0.13,0.87,6
다사5130,0,9,0,0,18,23,0,11,407,8364,0.15,0.85,7
다사3847,1,23,0,1,29,28,0,24,821,32421,0.16,0.84,8
다사5719,1,19,0,0,17,20,0,8,237,9819,0.18,0.82,9
다사7459,0,9,0,1,4,17,1,8,134,8924,0.19,0.81,10
다사3645,0,11,0,0,20,26,0,15,653,18610,0.20,0.80,11
다사6737,1,20,1,0,44,30,2,16,570,30465,0.21,0.79,12
다사6530,0,14,0,0,27,18,0,10,773,27656,0.21,0.79,13
라사1221,0,13,0,0,9,16,0,8,153,5704,0.22,0.78,14
다사6919,0,18,0,1,15,19,1,5,347,11182,0.22,0.78,15
다사5319,0,14,0,0,25,27,0,18,676,24082,0.22,0.78,16
다사3760,1,19,0,0,29,26,1,2,705,20555,0.22,0.78,17
다사4047,0,5,0,0,9,24,0,8,296,12470,0.22,0.78,18
다사6068,0,4,0,0,9,15,0,10,338,11369,0.23,0.77,19
다바4987,1,10,0,0,12,21,0,5,249,5223,0.23,0.77,20
다사3743,1,16,0,0,19,26,0,18,513,19350,0.23,0.77,21
다사9420,1,9,0,1,19,12,0,10,268,11007,0.24,0.76,22
다사5971,1,19,0,1,27,35,0,13,372,17906,0.25,0.75,23
다사3943,1,23,0,0,17,46,1,20,717,22627,0.26,0.74,24
다사4933,0,14,0,0,19,28,0,19,807,17101,0.27,0.73,25
다사5030,0,16,0,1,23,36,0,13,524,20549,0.28,0.72,26
다사6632,1,17,0,0,19,20,0,16,823,20024,0.28,0.72,27
다사9943,0,15,0,2,13,14,1,6,175,7655,0.29,0.71,28
다사7039,1,20,0,1,23,39,0,31,907,34666,0.29,0.71,29
다사4321,0,12,0,0,29,27,0,43,869,27924,0.29,0.71,30
다사7162,0,5,0,0,6,21,0,17,275,11649,0.29,0.71,31
다바6098,0,17,0,1,20,12,0,7,291,9775,0.29,0.71,32
다사3673,1,19,0,0,22,20,0,12,241,11609,0.29,0.71,33
